"id_docente";"nome";"titulo";"tipo";"issn_ou_sigla";"nome_local";"ano";"qualis";"natureza";"percentile_ou_h5";"autores";"doi"
33;Alexandre César Muniz de Oliveira;Semivariogram Applied for Classification of  Benign and Malignant Tissues in Mammography;TRABALHO-EM-EVENTOS;ICIAR;ICIAR ? International Conference on Image Analysis and Recognition - Springer Lecture Notes in Computer Science (LNCS series);2006;A3;INTERNACIONAL;;"Valdeci Ribeiro da Silva Jr;Aristófanes Corrêa Silva;Anselmo Cardoso de Paiva;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Pattern Sequencing Problems by Clustering Search;TRABALHO-EM-EVENTOS;IBERAMIA;Simpósio Brasileiro de Inteligência Artificial (SBIA 2006) - Advances in Artificial Intelligence - IBERAMIA-SBIA 2006;2006;B2;INTERNACIONAL;;"Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";"10.1007/11874850"
33;Alexandre César Muniz de Oliveira;Comparison of FLDA,MLP and SVM in Diagnosis of Lung Nodule;TRABALHO-EM-EVENTOS;DATA;International Conference on Machine Learning and Data Mining MLDM´2005 (MLDM 2005) - Lecture Notes in Artificial Intelligence;2005;B4;INTERNACIONAL;;"Aristófanes Corrêa Silva;Anselmo Cardoso de Paiva;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Population training heuristics;TRABALHO-EM-EVENTOS;-;European Conference on Evolutionary Computation in Combinatorial Optimization - Lecture Notes in Computer Science (LNCS);2005;SQ;INTERNACIONAL;;"Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";""
33;Alexandre César Muniz de Oliveira;An Adaptive Hierarchical Fair Competition Genetic Algorithm for Large-Scale Numerical Optimization;TRABALHO-EM-EVENTOS;NETWORKS;BEC2004 - I Brazilian Workshop On Evolutionary Computation - Proceedings of SBRN 2004 - 8th Brazilian Symposium on Neural Networks,;2004;B2;NACIONAL;;"Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;Airam J Preto;Stephan Stephany;";""
33;Alexandre César Muniz de Oliveira;Detecting promising areas by evolutionary clustering search;TRABALHO-EM-EVENTOS;-;XVII Brazilian Symposium on Artificial Intelligence - SBIA'04 - Lecture Notes in Artificial Intelligence (LNAI);2004;SQ;INTERNACIONAL;;"Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";""
33;Alexandre César Muniz de Oliveira;A hierarchical fair competition genetic algorithm for numerical optimization;TRABALHO-EM-EVENTOS;-;III WORKSHOP DOS CURSOS DE COMPUTAÇÃO APLICADA DO INPE - III WORKSHOP DOS CURSOS DE COMPUTAÇÃO APLICADA DO INPE;2003;SQ;LOCAL;;"Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;Stephan Stephany;Airam J Preto;";""
33;Alexandre César Muniz de Oliveira;A Population Training Approach to Permutation Problems;TRABALHO-EM-EVENTOS;EURO;I EURO/INFORMS joint international meeting - I EURO/INFORMS joint international meeting;2003;B4;INTERNACIONAL;;"Luiz Antonio Nogueira Lorena;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Algoritmo de treinamento populacional: uma aplicação ao MOSP;TRABALHO-EM-EVENTOS;-;VI Oficina de Problemas de Corte e Empacotamento - ;2002;SQ;NACIONAL;;"Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";""
33;Alexandre César Muniz de Oliveira;A Constructive Genetic Algorithm for Gate Matrix Layout Problems.;ARTIGO-PUBLICADO;"02780070";IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems;2002;A2;COMPLETO;76;"Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";""
